Date,AAPL,ADBE,AMZN,BAC,COST,CRM,CVX,DIS,GOOGL,HD,JNJ,JPM,KO,MA,META,MSFT,NFLX,NVDA,PEP,PG,TSLA,UNH,V,WMT,XOM
2024-12-24,0.17724079439968443,0.3946826214367994,0.2986162401894162,0.2615675381573364,0.16808746979601719,0.3607309122878946,0.19554659518079814,0.237968101334871,0.2974756377888565,0.2093687967563769,0.13500611945525584,0.31749372715648483,0.14292331742709508,0.15360127361083825,0.26559324073251883,0.21475341218440935,0.32038782472776123,0.3770136569495835,0.1589458445847434,0.1513044065938306,0.7877539218479002,0.36465432533376646,0.17682440600958685,0.17700109751179466,0.18407715502803973
2024-12-26,0.1651086146185732,0.3909325782050999,0.29898268041160647,0.2600267732802204,0.16655288076192942,0.3603373724373853,0.19246492144572722,0.23226890459645716,0.29758066709943415,0.20843633722636074,0.1349856148877926,0.3145426350384991,0.14299633540117815,0.15340119116099019,0.26585268900886505,0.2095606905098128,0.32100546082819276,0.36820428744511524,0.15773716029660131,0.1520735507788445,0.7883015292181497,0.3654888977037544,0.17626060990347198,0.17681596563691077,0.17692065811444854
2024-12-27,0.1681634875604929,0.39084719105609184,0.30107840820169174,0.2603966669566835,0.17090802150538087,0.3567370067321209,0.19160283934753486,0.2335464023482263,0.29906897408878236,0.20836457506037534,0.1348617192369342,0.31534309409555955,0.14210302571620967,0.15432544779216598,0.2657983191500079,0.21199765952990504,0.32429358691534854,0.3705264427190455,0.1569169483958099,0.15168611266815882,0.7924573164956734,0.3637028496566086,0.17708804790867122,0.1774179357137339,0.17416756844829173
2024-12-30,0.17050196230659592,0.39082027748711373,0.3000948971221143,0.261528266622943,0.17545567351894273,0.3574891962319146,0.1919077193984971,0.23374656294499463,0.29980878986022025,0.20900815869462028,0.13638156064908524,0.31498554338289697,0.14207755180084874,0.15680930868056686,0.26534268404422545,0.21386634007812116,0.32456074052189243,0.36485598090949867,0.1571523118332585,0.15303953959034394,0.7923256003157064,0.36367735306184046,0.1789741148630344,0.1797291903926273,0.17298112941032362
2024-12-31,0.17136242624871845,0.3904197173257512,0.29767966907139853,0.2582524904234072,0.17538050215254253,0.35506764712159156,0.19367047465596113,0.23215455866969445,0.30076768532281273,0.2084899347269355,0.13811449355353742,0.3075547881087723,0.142408386286215,0.15654733597414625,0.262031160157688,0.21451861359362617,0.32453815235387323,0.3672049070220032,0.1572993353587372,0.15247388665988815,0.794822097930205,0.36369092986082185,0.17894306261147336,0.1797399787607217,0.17236688050721882
2025-01-02,0.173754242067128,0.3828332219951805,0.28937842512265816,0.25828253963095854,0.17450244881459212,0.3550553863852669,0.1955068163187815,0.22310699665823364,0.29560417655958965,0.20849515746738273,0.13806121154329096,0.3074690005224666,0.1394743683611507,0.15499764942989272,0.2635095723713675,0.21246976060006437,0.3196474311410551,0.3693542449320284,0.15870692718040072,0.1523420120917933,0.8022012175601007,0.3630144156979965,0.1760558390775664,0.17270281332147228,0.17181568249837162
2025-01-03,0.17035852590533557,0.3832738109587287,0.29055756987027825,0.2589953405093838,0.170789347388945,0.3522413144896483,0.19349721666174988,0.22307189723678741,0.29603948841549543,0.2060076550269557,0.1380756130396957,0.3082655923932632,0.13921016736190414,0.15352108831639413,0.262645847346996,0.21218479188000267,0.3163303507645126,0.3712678810662819,0.15272017514442954,0.15214578468326753,0.816098674338607,0.3650659324527706,0.176019139316697,0.17284285571903132,0.1649131692105927
2025-01-06,0.1677224424940568,0.38330887512311695,0.2908488591343416,0.2598325234946538,0.16593447265564912,0.35143316929676655,0.19328158495014844,0.2225164751636114,0.29752453699647935,0.20571796934772787,0.13724041772381712,0.30790810909639277,0.14104805693233857,0.15776097909553094,0.2760658204444849,0.21283818745654076,0.31624620774274925,0.377165720061375,0.15544288619985397,0.16139258371721535,0.8147627452639423,0.36312619024766146,0.17653748237726383,0.17263360267950187,0.1648529064325177
2025-01-07,0.16955731162535528,0.38244675228347913,0.2961961725805311,0.2606136442955491,0.1620068038370169,0.35350717463692577,0.1955593748072239,0.22162679559728357,0.29827029557512313,0.2053163444322722,0.14298467610521662,0.30809198943439603,0.14104501973742636,0.15753788504318084,0.2781694145819116,0.21440952532593188,0.3165111450068417,0.3983842363886302,0.15521656583798973,0.16170803708610645,0.820447847277554,0.3621834489204737,0.17704143809451742,0.17183558486322284,0.16507085908718244
2025-01-08,0.1688427696626646,0.38152832487272437,0.2957166394618674,0.24156295670460837,0.16200750990958496,0.3530622757270185,0.19549885107321988,0.2237643032044141,0.2990346782013266,0.20575958701912447,0.15152913971111437,0.29547627402792154,0.14433928918612576,0.15783374397033031,0.2786730860858173,0.21463037032794827,0.3157042023025007,0.39838588825536275,0.1543358467295329,0.15976240645429396,0.7951536640209419,0.36498355632196977,0.17704596139466514,0.1725653598685026,0.16739885292709913
2025-01-10,0.17352376640581776,0.3808000846956779,0.29717919155861905,0.24715687901673883,0.16318372467712275,0.3577356084886763,0.19920905927940177,0.22491287204491836,0.2997777553197178,0.20547338146371938,0.15142053406579747,0.29691095993608435,0.14283635261786692,0.16304565356636436,0.2791166476334146,0.21601995850594144,0.3277662203070015,0.4003364090177359,0.16041205763624505,0.1643430797187337,0.795451484933751,0.36394731822243603,0.17986508161637563,0.17395360179823047,0.1669493283248122
